NCESID,NAME,ADDRESS,CITY,STATE,COUNTY
232712,IMMANUEL LUTHERAN SCHOOL,154 MEADOW ST,BRISTOL,CT,HARTFORD
232122,KOLBE CATHEDRAL HIGH SCHOOL,33 CALHOUN PL,BRIDGEPORT,CT,FAIRFIELD
233126,MOORELAND HILL SCHOOL,166 LINCOLN ST,KENSINGTON,CT,HARTFORD
231581,NOTRE DAME CATHOLIC HIGH SCHOOL,220 JEFFERSON ST,FAIRFIELD,CT,FAIRFIELD
A9700810,PEAR TREE POINT SCHOOL,90 PEAR TREE POINT RD,DARIEN,CT,FAIRFIELD
231774,ST ANDREW ACADEMY,395 ANTON ST,BRIDGEPORT,CT,FAIRFIELD
231763,ST ANN ACADEMY,521 BREWSTER ST,BRIDGEPORT,CT,FAIRFIELD
231752,ST AUGUSTINE ACADEMY,63 PEQUONNOCK ST,BRIDGEPORT,CT,FAIRFIELD
230759,ST AUGUSTINE SCHOOL,20 CLIFFORD ST,HARTFORD,CT,HARTFORD
231876,ST CATHERINE OF SIENA SCHOOL,190 SHELTON RD,TRUMBULL,CT,FAIRFIELD
232031,ST CECILIA ELEMENTARY SCHOOL,1186 NEWFIELD AVE,STAMFORD,CT,FAIRFIELD
231264,ST CHRISTOPHER SCHOOL,570 BREWER ST,EAST HARTFORD,CT,HARTFORD
231639,ST GREGORY THE GREAT SCHOOL,85 GREAT PLAIN RD,DANBURY,CT,FAIRFIELD
231901,ST JAMES SCHOOL,50 HARVEY PLACE,STRATFORD,CT,FAIRFIELD
231628,ST JOSEPH ELEMENTARY SCHOOL,370 MAIN ST,DANBURY,CT,FAIRFIELD
231865,ST JOSEPH HIGH SCHOOL,2320 HUNTINGTON TPKE,TRUMBULL,CT,FAIRFIELD
231457,ST JOSEPH SCHOOL,430 CORAM AVE,SHELTON,CT,FAIRFIELD
232064,ST LAWRENCE ELEMENTARY SCHOOL,503 SHELTON AVE,SHELTON,CT,FAIRFIELD
231832,ST MARY ELEMENTARY SCHOOL,24 DODGINGTOWN RD,BETHEL,CT,FAIRFIELD
231468,ST ROSE OF LIMA SCHOOL,40 CHURCH HILL RD,NEWTOWN,CT,FAIRFIELD
231526,ST THOMAS AQUINAS ELEMENTARY SCHOOL,1719 POST RD,FAIRFIELD,CT,FAIRFIELD
A9700818,THE CHILDREN'S SCHOOL,118 SCOFIELDTOWN RD,STAMFORD,CT,FAIRFIELD
233476,THE LONG RIDGE SCHOOL,478 ERSKINE RD,STAMFORD,CT,FAIRFIELD
233691,THE MEAD SCHOOL,1095 RIVERBANK RD,STAMFORD,CT,FAIRFIELD
A9101605,THE MONTESSORI SCHOOL,34 WHIPPLE RD,WILTON,CT,FAIRFIELD
231923,TRINITY CATHOLIC HIGH SCHOOL,926 NEWFIELD AVE,STAMFORD,CT,FAIRFIELD
230839,ASSUMPTION EARLY LEARNING CE,27 ADAMS ST S,MANCHESTER,CT,HARTFORD
233895,AVON OLD FARMS SCHOOL,500 OLD FARMS RD,AVON,CT,HARTFORD
A9101601,BEN BRONZ ACADEMY,141 N MAIN ST BOATNER BLDG,WEST HARTFORD,CT,HARTFORD
A0300683,CLINICAL DAY SCHOOL - MANCHESTER MEMORIAL HOSPITAL,71 HAYNES ST,MANCHESTER,CT,HARTFORD
A9302537,COMMUNITY CHILD GUIDANCE CLINIC,317 N MAIN ST,MANCHESTER,CT,HARTFORD
231209,ENFIELD MONTESSORI SCHOOL,1370 ENFIELD ST,ENFIELD,CT,HARTFORD
233002,ETHEL WALKER SCHOOL,230 BUSHY HILL RD,SIMSBURY,CT,HARTFORD
A9700801,GENGRAS CENTER/UNIV OF ST JOSEPH,1678 ASYLUM AVE,WEST HARTFORD,CT,HARTFORD
AA000480,HARTFORD AREA SDA SCHOOL,474 WOODLAND ST,HARTFORD,CT,HARTFORD
A9700802,HEBREW HIGH SCHOOL OF NEW ENGLAND,300 BLOOMFIELD AVE,WEST HARTFORD,CT,HARTFORD
A9302568,HERITAGE CHRISTIAN SCHOOL,48 LEWIS ST,BRISTOL,CT,HARTFORD
A9700806,INTENSIVE EDUCATION ACADEMY IN,840 N MAIN ST,WEST HARTFORD,CT,HARTFORD
X0232993,KINGSWOOD-OXFORD SCHOOL,170 KINGSWOOD RD,WEST HARTFORD,CT,HARTFORD
233206,MISS PORTER'S SCHOOL,60 MAIN ST,FARMINGTON,CT,HARTFORD
A0101497,MONTESSORI SCHOOL GREATER HARTFORD,141 N MAIN ST,WEST HARTFORD,CT,HARTFORD
A9300239,NEW TESTAMENT BAPTIST CHURCH SCHOOL,111 ASH ST,EAST HARTFORD,CT,HARTFORD
230293,NORTHWEST CATHOLIC HIGH SCHOOL,29 WAMPANOAG DR,WEST HARTFORD,CT,HARTFORD
A9300232,PRAISE POWER & PRAYER CHRISTIAN SCHOOL,209 KENNEDY ROAD,WINDSOR,CT,HARTFORD
A0101472,RAYMOND HILL SCHOOL,345 LINWOOD ST,"NEW BRITAIN,",CT,HARTFORD
230599,SACRED HEART SCHOOL,35 ORANGE ST,NEW BRITAIN,CT,HARTFORD
A0101533,SOLOMON SCHECHTER DAY SCHOOL,26 BUENA VISTA RD,WEST HARTFORD,CT,HARTFORD
231355,ST ANTHONY SCHOOL,30 PLEASANT ST,BRISTOL,CT,HARTFORD
A0740027,ST BERNARD SCHOOL,232 PEARL ST,ENFIELD,CT,HARTFORD
230872,ST BRIDGET SCHOOL,74 MAIN ST,MANCHESTER,CT,HARTFORD
231231,ST BRIGID SCHOOL,100 MAYFLOWER ST,WEST HARTFORD,CT,HARTFORD
230373,ST GABRIEL SCHOOL,77 BLOOMFIELD AVE,WINDSOR,CT,HARTFORD
231344,ST JOSEPH SCHOOL,335 CENTER ST,BRISTOL,CT,HARTFORD
231333,ST MATTHEW SCHOOL,33 WELCH DR,BRISTOL,CT,HARTFORD
232701,ST MATTHEWS LUTHERAN SCHOOL,87 FRANKLIN SQ,NEW BRITAIN,CT,HARTFORD
230045,ST PAUL SCHOOL,461 ALLING ST,KENSINGTON,CT,HARTFORD
230475,SOUTHINGTON CATHOLIC SCHOOL,133 BRISTOL ST,SOUTHINGTON,CT,HARTFORD
230067,ST TIMOTHY MIDDLE SCHOOL,225 KING PHILIP DR,WEST HARTFORD,CT,HARTFORD
2015321,TALCOTT MOUNTAIN ACADEMY OF SCIENCE MATHEMATICS,324 MONTEVIDEO RD,AVON,CT,HARTFORD
232687,THE BESS & PAUL SIGEL HEBREW ACADEMY,53 GABB RD,BLOOMFIELD,CT,HARTFORD
2015274,THE COBB SCHOOL MONTESSORI,112 SAND HILL RD,SIMSBURY,CT,HARTFORD
2015285,THE CORNERSTONE CHRISTIAN SCHOOL,236 MAIN ST,MANCHESTER,CT,HARTFORD
A9901017,TRINITY CHRISTIAN SCHOOL,180 PARK AVE,WINDSOR,CT,HARTFORD
K9301102,WINDSOR MONTESSORI SCHOOL,114 PALISADO AVE,WINDSOR,CT,HARTFORD
A1503781,SMALL STEPS NURTURING CENTER - JENSEN,2902 JENSEN DR,HOUSTON,TX,HARRIS
A1303474,SNYDER CHRISTIAN SCHOOL,2700 COLLEGE AVE,SNYDER,TX,SCURRY
230963,ACADEMY OF OUR LADY OF MERCY - LAURALTON HALL,200 HIGH ST,MILFORD,CT,NEW HAVEN
233705,ADELBROOK,60 HICKSVILLE RD,CROMWELL,CT,MIDDLESEX
231129,ASSUMPTION SCHOOL,51 N CLIFF ST,ANSONIA,CT,NEW HAVEN
K9500171,BOULDER KNOLL MONTESSORI SCHOOL,660 BOULDER RD,CHESHIRE,CT,NEW HAVEN
A9900902,CALVIN HILL DAYCARE  CTR  & KLF KINDERGARTEN,150 HIGHLAND ST,NEW HAVEN,CT,NEW HAVEN
A0500849,CCCD - CONNECTICUT  CTR  FOR CHILD DEVELOPMENT,95 WOLF HARBOR RD,MILFORD,CT,NEW HAVEN
233884,CEDARHURST SCHOOL,871 PROSPECT STREET,HAMDEN,CT,NEW HAVEN
A9302524,CHARLES F HAYDEN SCHOOL- BOYS & GIRLS VILLAGE,528 WHEELERS FARMS RD,MILFORD,CT,NEW HAVEN
233283,CHASE COLLEGIATE SCHOOL,565 CHASE PKWY,WATERBURY,CT,NEW HAVEN
233261,CHOATE ROSEMARY HALL,333 CHRISTIAN ST,WALLINGFORD,CT,NEW HAVEN
233851,ELIZABETH IVES SCHOOL FOR SPECIAL CHILDREN,70 STATE ST,NORTH HAVEN,CT,NEW HAVEN
233465,FOOTE SCHOOL,50 LOOMIS PL,NEW HAVEN,CT,NEW HAVEN
2015423,HERITAGE BAPTIST ACADEMY,161 S WHITTLESEY AVE,WALLINGFORD,CT,NEW HAVEN
230114,HOLY CROSS HIGH SCHOOL,587 ORONOKE RD,WATERBURY,CT,NEW HAVEN
K9501323,"LEILA DAY NURSERIES, INC.",100 COLD SPRING ST,NEW HAVEN,CT,NEW HAVEN
232202,MERCY HIGH SCHOOL,1740 RANDOLPH RD,MIDDLETOWN,CT,MIDDLESEX
A9700793,MILFORD CHRISTIAN ACADEMY,989 NEW HAVEN AVE,MILFORD,CT,NEW HAVEN
A9900977,NORTHWEST CHILDRENS CENTER,34 COLES ROAD,CROMWELL,CT,MIDDLESEX
231082,SACRED HEART ACADEMY,265 BENHAM ST,HAMDEN,CT,NEW HAVEN
230169,SACRED HEART HIGH SCHOOL,142 S ELM ST,WATERBURY,CT,NEW HAVEN
A0500872,SACRED HEART MANOR NURSERY & KINDERGARTEN,261 BENHAM ST,HAMDEN,CT,NEW HAVEN
K9500176,SHORELINE SCHOOL OF MONTESSORI,675 E MAIN ST,BRANFORD,CT,NEW HAVEN
231005,ST FRANCIS-ST HEDWIG SCHOOL,294 CHURCH ST,NAUGATUCK,CT,NEW HAVEN
A9501032,ST JOHN SCHOOL,42 MAYNARD RD,OLD SAYBROOK,CT,MIDDLESEX
230908,ST JOSEPH SCHOOL,159 W MAIN ST,MERIDEN,CT,NEW HAVEN
A0700387,ST MARTIN DE PORRES ACADEMY,208 COLUMBUS AVE,NEW HAVEN,CT,NEW HAVEN
230249,ST MARY,55 COLE ST,WATERBURY,CT,NEW HAVEN
231286,ST MARY & ST MICHAEL SCHOOL,14 SEYMOUR AVE,DERBY,CT,NEW HAVEN
231049,ST STEPHEN SCHOOL,418 RIDGE RD,HAMDEN,CT,NEW HAVEN
233975,ST THOMAS'S DAY SCHOOL,830 WHITNEY AVE,NEW HAVEN,CT,NEW HAVEN
A0101540,THE CHESHIRE ACADEMY,10 MAIN ST,CHESHIRE,CT,NEW HAVEN
A0500877,THE CHILDREN'S TREE MONTESSORI SCHOOL,96 ESSEX RD,OLD SAYBROOK,CT,MIDDLESEX
233272,THE INDEPENDENT DAY SCHOOL,115 LAUREL BROOK ROAD,MIDDLEFIELD,CT,MIDDLESEX
232905,WESTOVER SCHOOL,1237 WHITTEMORE RD,MIDDLEBURY,CT,NEW HAVEN
233567,WHITNEY HALL SCHOOL,1400 WHITNEY AVE,HAMDEN,CT,NEW HAVEN
232246,XAVIER HIGH SCHOOL,181 RANDOLPH RD,MIDDLETOWN,CT,MIDDLESEX
A1503782,SOLID ROCK CHRISTIAN ACADEMY,155 IHIO N STE 2,BEAUMONT,TX,JEFFERSON
A1303480,SOUTHWEST CHRISTIAN SCHOOL-PREP CAMPUS,6901 ALTAMESA BLVD,FORT WORTH,TX,TARRANT
A1390352,SPRINGBOARD ACADEMICS,3901 INTERSTATE 27,LUBBOCK,TX,LUBBOCK
A1503826,THE LEARNING CENTER,7890 SAMUELL BLVD,DALLAS,TX,DALLAS
232461,ACADEMY OF THE HOLY FAMILY,54 W MAIN ST BOX 691,BALTIC,CT,NEW LONDON
A9101603,COLD SPRING SCHOOL,263 CHAPEL ST,NEW HAVEN,CT,NEW HAVEN
233738,HOPKINS SCHOOL,986 FOREST RD,NEW HAVEN,CT,NEW HAVEN
2015525,MONTESSORI DISCOVERY SCHOOL,218 DUDLEY ST,NORWICH,CT,NEW LONDON
2015489,NORTH STONINGTON CHRISTIAN ACADEMY,12 STILLMAN RD,NORTH STONINGTON,CT,NEW LONDON
230307,NOTRE DAME HIGH SCHOOL,24 RICARDO ST,WEST HAVEN,CT,NEW HAVEN
230318,OUR LADY OF VICTORY SCHOOL,620 JONES HILL ROAD,WEST HAVEN,CT,NEW HAVEN
233046,PINE POINT SCHOOL,89 BARNES RD,STONINGTON,CT,NEW LONDON
232392,SACRED HEART SCHOOL,15 HUNTERS AVE,TAFTVILLE,CT,NEW LONDON
232643,SOLOMON SCHECHTER ACADEMY,660 OCEAN AVE,NEW LONDON,CT,NEW LONDON
232417,ST BERNARD SCHOOL,1593 NORWICH NEW LONDON TPKE,UNCASVILLE,CT,NEW LONDON
232439,ST JOSEPH ELEMENTARY SCHOOL,10 SCHOOL HILL RD,BALTIC,CT,NEW LONDON
232268,ST JOSEPH SCHOOL,25 SQUIRE ST,NEW LONDON,CT,NEW LONDON
230329,ST LAWRENCE SCHOOL,231 MAIN ST,WEST HAVEN,CT,NEW HAVEN
230996,ST MARY SCHOOL,72 GULF ST,MILFORD,CT,NEW HAVEN
1620715,ST MICHAEL SCHOOL,63 LIBERTY ST,PAWCATUCK,CT,NEW LONDON
232326,ST PATRICK CATHEDRAL SCHOOL,211 BROADWAY,NORWICH,CT,NEW LONDON
A0300706,ST RITA SCHOOL,1601 WHITNEY AVE,HAMDEN,CT,NEW HAVEN
A0500874,STEDFAST CHRISTIAN ACADEMY,256 NORTH RD,GROTON,CT,NEW LONDON
233953,THE COUNTRY SCHOOL,341 OPENING HILL RD,MADISON,CT,NEW HAVEN
233964,THE FOUNDATION SCHOOL ORANGE,719 DERBY MILFORD RD,ORANGE,CT,NEW HAVEN
233104,WILLIAMS SCHOOL,182 MOHEGAN AVE,NEW LONDON,CT,NEW LONDON
A1390358,UNIVERSITY PARK ACADEMY,5830 VAN FLEET ST,HOUSTON,TX,HARRIS
A1503842,UPWARD HOPE ACADEMY,7100 STEWART RD,GALVESTON,TX,GALVESTON
A1503851,ALPINE ACADEMY,1280 WHISPERING HORSE DRIVE,URDA,UT,TOOELE
A1503854,ARCHES ACADEMY,280 S 400 E,OREM,UT,UTAH
A1371483,BENNION LEARNING CENTER,3337 W 6200 S,TAYLORSVILLE,UT,SALT LAKE
A1503867,ELIZABETH ACADEMY,2870 S CONNOR ST,SALT LAKE CITY,UT,SALT LAKE
A1503872,INTERMOUNTAIN SUMMIT SCHOOL,4387 HARRISON BLVD SUITE C4,OGDEN,UT,WEBER
A1390363,LIFE MISSSION DISCOVERY SCHOOL,HC 63 BOX26B,MONTICELLO,UT,SAN JUAN
A1503880,MERIDIAN SCHOOL,1440 W CENTER ST,SPRINGVILLE,UT,UTAH
A1503901,BURR & BURTON ACADEMY,57 SEMINARY AVENUE,MANCHESTER,VT,BENNINGTON
A1503905,CONNECTICUT RIVER ACADEMY,551 LOWER PLAINS RD.,BRADFORD,VT,ORANGE
A1503906,FAY HONEY KNOPP MEMORIAL SCHOOL,71 PARK STREET,RUTLAND,VT,RUTLAND
A1503907,IMAGINE SCHOOL HOUSE INC,880 RUGG RD,EAST FAIRFIELD,VT,FRANKLIN
A1503908,LAMOILLE VALLEY LEARNING TOGETHER,46 COPLEY AVE.,MORRISVILLE,VT,LAMOILLE
A1503909,MANCHESTER VILLAGE SCHOOL,4002 MAIN ST,MANCHESTER,VT,BENNINGTON
A1503911,OAK MEADOW SCHOOL,132 MAIN ST STE 235,BRATTLEBORO,VT,WINDHAM
A1503918,VILLAGE SCHOOL OF NO.BENNINGTON,9 SCHOOL ST,NO BENNINGTON,VT,BENNINGTON
BB162936,METTA MONTESSORI SCHOOL,1012 S CLEVELAND ST,ARLINGTON,VA,ARLINGTON
A9501069,MONTESSORI SCHOOL OF CHEVY CHASE,5312 CONNECTICUT AVE NW,WASHINGTON,DC,DISTRICT OF COLUMBIA
A0307375,SMITHSONIAN EARLY ENRICHMENT CENTER,NMNH 10TH & CONSTITUTION AVE NW RM. CE-G50,WASHINGTON,DC,DISTRICT OF COLUMBIA
A1503913,ROOTS AND WINGS ACADEMY,115 MAIN RD,WEST HAVEN,VT,RUTLAND
A1503914,THE DOWNTOWN SCHOOL,106 PALMER PL,MANCHESTER CENTER,VT,BENNINGTON
A1371497,ABUNDANT LIFE MINISTRIES,6037 PROVIDENCE RD,VIRGINIA BEACH,VA,VIRGINIA BEACH
A1371498,ACCOTINK ACADEMY PRESCHOOL,6215 ROLLING RD,SPRINGFIELD,VA,FAIRFAX
A1371503,ALDERSGATE UMC KINDER PREP,4320 BRUCE RD,CHESAPEAKE,VA,CHESAPEAKE
A1503922,ALLIED NATIONAL HIGH SCHOOL,22952 ALCALDE DR,LAGUNA HILLS,CA,ORANGE
A1371505,ANGELDEER LEARNING CENTER,9562 KINGS CHARTER DRIVE,ASHLAND,VA,HANOVER
A1371506,ANN & MICHELE'S CHILD CARE CENTER,2728 CEDAR RD,CHESAPEAKE,VA,CHESAPEAKE
A1371511,ATLEE CHRISTIAN ACADEMY,8391 ATLEE RD,MECHANICSVILLE,VA,HANOVER
A1371512,AURORA SCHOOL,601 CATOCTIN CIR NE,LEESBURG,VA,LOUDOUN
BB130530,CORNERSTONE CHRISTIAN ACADEMY,12368 DILLINGHAM SQ,WOODBRIDGE,VA,PRINCE WILLIAM
A1371543,CORNERSTONE PRESCHOOL AND LIFE ACADEMY,56 MCWHIRT LOOP,FREDERICKSBURG,VA,STAFFORD
A1371549,DEMI/GOOD SHEPHERD SCHOOL & DAY CARE,109 117 COMMUNITY DR,WAYNESBORO,VA,WAYNESBORO
A1503933,DISCOVERY SCHOOL OF VIRGINIA FOR GIRLS,368 JIM BIRCH FORREST LN,DILLWYN,VA,BUCKINGHAM
A1371554,EARTHSONG COMMUNITY SCHOOL,227 N LEWIS ST,LEXINGTON,VA,LEXINGTON
A1371704,LITTLE FLOCK CHRISTIAN ACADEMY,11911 BRADDOCK RD,FAIRFAX,VA,FAIRFAX
A1503943,GRAFTON INTEGRATED HEALTH NETWORK - BERRYVILLE,180 GRAFTON LANE,BERRYVILLE,VA,CLARKE
A1503945,GRAFTON INTEGRATED HEALTH NETWORK - RICHMOND,4100 PRICE CLUB BLVD,MIDLOTHIAN,VA,CHESTERFIELD
A1371581,GREAT BRIDGE CHRISTIAN ACADEMY,700 MOUNT PLEASANT RD,CHESAPEAKE,VA,CHESAPEAKE
A1503950,HALIFAX CHRISTIAN SCHOOL,3098 HALIFAX RD,SOUTH BOSTON,VA,HALIFAX
A1371590,HERITAGE ACADEMY,1461 DRY FORK ROAD,DRY FORK,VA,PITTSYLVANIA
A1371629,LONDON BRIDGE BAPTIST PRESCHOOL AND KINDERGARDEN,2460 POTTERS RD,VIRGINIA BEACH,VA,VIRGINIA BEACH
A1371634,MATTHEW'S CENTER FOR VISUAL LEARNING,10651 LOMOND DR,MANASSAS,VA,PRINCE WILLIAM
A1503964,MINNIELAND ACADEMY @ BELMONT,43900 RUSSELL BRANCH PKWY,ASHBURN,VA,LOUDOUN
A1371639,MINNIELAND ACADEMY @ KIRKPATRICK FARMS,25375 SUPREME DR,ALDIE,VA,LOUDOUN
A1503967,MINNIELAND ACADEMY @ SOUTH RIDING,25400 SOUTH RIDING BLVD,SOUTH RIDING,VA,LOUDOUN
A1503969,NATIONAL HIGH SCHOOL,6455 E JOHNS XING SUITE 175,JOHNS CREEK,GA,FULTON
A1371702,SPIRIT OF LIFE MINISTRIES COGIC,1300 THOMAS ST STE A,HAMPTON,VA,HAMPTON
A1371703,ST STEPHENS ST AGNES DAYSCHOOL,400 FONTAINE ST,ALEXANDRIA,VA,ALEXANDRIA
A1392046,SUMMIT CHRISTIAN ACADEMY,4209 BIG BETHEL RD,YORKTOWN,VA,YORK
A1371713,THE DEL RAY MONTESSORI SCHOOL,100 E WINDSOR AVE RM 204,ALEXANDRIA,VA,ALEXANDRIA
A1504005,ALGER LEARNING CENTER- INC.,121 ALDER DR,SEDRO WOOLLEY,WA,WHATCOM
BB130545,BELLEVUE CHRISTIAN MACK ELEMENTARY,18250 168TH PL NE,WOODINVILLE,WA,KING
A1390378,BLOSSOMING HILL MONTESSORI,23855 SE 216TH ST,MAPLE VALLEY,WA,KING
A1303629,CALVARY CHRISTIAN SCHOOL,10611 W CLEARWATER AVE,KENNEWICK,WA,BENTON
A1303632,CEDAR PARK CHRISTIAN - MOUNTLAKE TERRACE CAMPUS,23607 54TH AVE W,MOUNTLAKE TERRACE,WA,SNOHOMISH
A1504011,CHRIST THE KING SCHOOL,1122 LONG AVE,RICHLAND,WA,BENTON
BB141102,DARTMOOR SCHOOLS,11812 N CREEK PKWY N STE 102,BOTHELL,WA,KING
A9300244,NATIONAL CATHEDRAL SCHOOL,3612 WOODLEY RD NW,WASHINGTON,DC,DISTRICT OF COLUMBIA
A0101694,NATIONAL CHILDREN'S CENTER,201 RITTENHOUSE ST NW,WASHINGTON,DC,DISTRICT OF COLUMBIA
252739,OUR LADY OF VICTORY SCHOOL,4755 WHITEHAVEN PKWY NW,WASHINGTON,DC,DISTRICT OF COLUMBIA
A0307377,RIVER SCHOOL,4880 MACARTHUR BLVD NW,WASHINGTON,DC,DISTRICT OF COLUMBIA
2016096,ROOTS ACTIVITY LEARNING CENTER,6222 N CAPITOL ST NW,WASHINGTON,DC,DISTRICT OF COLUMBIA
A0304040,SACRED HEART SCHOOL,1625 PARK RD NW,WASHINGTON,DC,DISTRICT OF COLUMBIA
253437,SHERIDAN SCHOOL,4400 36TH ST NW,WASHINGTON,DC,DISTRICT OF COLUMBIA
2032143,SIDWELL FRIENDS SCHOOL,3825 WISCONSIN AVE NW,WASHINGTON,DC,DISTRICT OF COLUMBIA
2015988,ST ALBANS SCHOOL,3001 ST ALBANS TRACK,WASHINGTON,DC,DISTRICT OF COLUMBIA
