NAME,ADDRESS,CITY,STATE,COUNTY
CICERO EAST ELEM SCHOOL,2324 S 49TH AVE,CICERO,IL,COOK
RANTOUL TWP HIGH SCHOOL,200 S SHELDON ST,RANTOUL,IL,CHAMPAIGN
PLT MIDDLE SCHOOL,38 FERRY ST,PROPHETSTOWN,IL,WHITESIDE
SOWERS ELEMENTARY SCHOOL,202 W HIGH ST,ROANOKE,IL,WOODFORD
GERMANTOWN HILLS MIDDLE SCHOOL,103 WARRIOR WAY,GERMANTOWN HILLS,IL,WOODFORD
ELMWOOD ELEM SCHOOL,1024 MAGNOLIA LN,NAPERVILLE,IL,DUPAGE
KINGSLEY ELEM SCHOOL,6509 POWELL ST,DOWNERS GROVE,IL,DUPAGE
THE LANE ELEM SCHOOL,500 N ELM ST,HINSDALE,IL,DUPAGE
LINCOLN ELEM SCHOOL,1520 CENTER AVE,CHICAGO HEIGHTS,IL,COOK
MCCARTY ELEMENTARY SCHOOL,3000 VILLAGE GREEN,AURORA,IL,DUPAGE
WEST 40-SR. PLUS,4413 W ROOSEVELT RD,HILLSIDE,IL,COOK
CENTER FOR EDUC OPP,201 STAUNTON RD,TROY,IL,MADISON
DEPUE ELEM SCHOOL,PO BOX 800,DEPUE,IL,BUREAU
CONNECTIONS PROGRAM,6S331 CORNWALL RD,NAPERVILLE,IL,DUPAGE
VISUALLY IMPAIRED PROGRAMS,6S331 CORNWALL RD,NAPERVILLE,IL,DUPAGE
TRANSITION PROGRAM,6S331 CORNWALL RD,NAPERVILLE,IL,DUPAGE
DALZELL GRADE SCHOOL,307 CHESTNUT ST,DALZELL,IL,BUREAU
SILAS WILLARD ELEM SCHOOL,460 FIFER ST,GALESBURG,IL,KNOX
JERSEYVILLE WEST ELEM SCHOOL,1000 W CARPENTER ST,JERSEYVILLE,IL,JERSEY
RAP FREEPORT,27 S STATE AVE,FREEPORT,IL,STEPHENSON
ST ANNE COMM HIGH SCHOOL,650 W GUERTIN ST,SAINT ANNE,IL,KANKAKEE
HIGH MOUNT ELEM SCHOOL,1721 BOUL AVE,SWANSEA,IL,ST. CLAIR
PARK EAST SCHOOL,400 W TOWNLINE RD,ROUND LAKE,IL,LAKE
W W WOODBURY ELEM SCHOOL,322 E 3RD ST,SANDWICH,IL,DEKALB
CREEKSIDE ELEMENTARY SCHOOL,13909 S BUDLER RD,PLAINFIELD,IL,WILL
PALATINE HIGH SCHOOL,1111 N ROHLWING RD,PALATINE,IL,COOK
NEIL ELEM SCHOOL,8555 S MICHIGAN AVE,CHICAGO,IL,COOK
CENTENNIAL ELEM SCHOOL,308 S PLEASANT AVE,POLO,IL,OGLE
SOUTH FORK JR SR HIGH SCHOOL,612 DIAL ST,KINCAID,IL,CHRISTIAN
THOMAS JEFFERSON ELEM SCHOOL,2651 GLENWOOD AVE,JOLIET,IL,WILL
WINNEBAGO HIGH SCHOOL,200 E MCNAIR RD,WINNEBAGO,IL,WINNEBAGO
CHICAGO EXCEL ACADEMY HS,1257 W 111TH ST,CHICAGO,IL,COOK
GREENVILLE JR HIGH SCHOOL,1200 JR HIGH DR,GREENVILLE,IL,BOND
ROBERT CROWN SCHOOL,620 W BONNER RD,WAUCONDA,IL,LAKE
ROGERS ELEMENTARY SCHOOL,109 ROGERS RD,NORTH PEKIN,IL,TAZEWELL
HOOVER WOOD ELEM SCHOOL,1640 WAGNER RD,BATAVIA,IL,KANE
JONES ELEMENTARY SCHOOL,800 BARBERRY WAY,JOLIET,IL,KENDALL
PALESTINE HIGH SCHOOL,102 N MAIN ST,PALESTINE,IL,CRAWFORD
FEARN ELEMENTARY SCHOOL,1600 HAWKSLEY LN,NORTH AURORA,IL,KANE
HOMESTEAD ELEMENTARY SCHOOL,2830 HILLSBORO BLVD,AURORA,IL,WILL
SOUTH ELEM SCHOOL,1535 EVERETT AVE,DES PLAINES,IL,COOK
DEERFIELD HIGH SCHOOL,1959 WAUKEGAN RD,DEERFIELD,IL,LAKE
PORTA HIGH SCHOOL,PO BOX 202,PETERSBURG,IL,MENARD
WETHERSFIELD JR/SR HIGH SCHOOL,439 WILLARD ST,KEWANEE,IL,HENRY
CENTENNIAL SCHOOL,135 W 5TH ST,EL PASO,IL,WOODFORD
HAMILTON JR/SR HIGH SCH,270 N 10TH ST,HAMILTON,IL,HANCOCK
UNITY JR HIGH SCHOOL,2115 S 54TH AVE,CICERO,IL,COOK
PECATONICA COMM MIDDLE SCHOOL,PO BOX 419,PECATONICA,IL,WINNEBAGO
VIRGINIA ELEM SCHOOL,651 S MORGAN ST,VIRGINIA,IL,CASS
SEDOL SECTOR PROGRAMS,18160 W GAGES LK RD,GAGES LAKE,IL,LAKE
MILFORD GRADE SCHOOL WEST CAMPUS,100 S CHICAGO ST,MILFORD,IL,IROQUOIS
J M HANNUM ELEM SCHOOL,9800 S TRIPP AVE,OAK LAWN,IL,COOK
EAST ALTON MIDDLE SCHOOL,1000 3RD ST,EAST ALTON,IL,MADISON
COWDEN-HERRICK GRADE SCHOOL,301 N BROADWAY ST,HERRICK,IL,SHELBY
VILLA GROVE HIGH SCHOOL,400 N SYCAMORE ST,VILLA GROVE,IL,DOUGLAS
URBANA EARLY CHILDHOOD CTR,2202 E WASHINGTON ST,URBANA,IL,CHAMPAIGN
JAMIE MCGEE ELEMENTARY SCHOOL,179 COMMONWEALTH DR,BOLINGBROOK,IL,WILL
HAWTHORN SCH OF DUAL LANGUAGE,810 N ASPEN DR,VERNON HILLS,IL,LAKE
GOODFIELD ELEM SCHOOL,308 W ROBINSON ST,GOODFIELD,IL,WOODFORD
HOUGH STREET ELEM SCHOOL,310 S HOUGH ST,BARRINGTON,IL,COOK
KIPLING ELEM SCHOOL,700 KIPLING PL,DEERFIELD,IL,LAKE
NEW BADEN ELEMENTARY SCHOOL,700 MARILYN DR,NEW BADEN,IL,CLINTON
SENECA ELEM SCHOOL SOUTH CAMPUS,174 OAK ST,SENECA,IL,LASALLE
BENJAMIN ELEM SCHOOL,6006 IRELAND GROVE R,BLOOMINGTON,IL,MCLEAN
EASTLAND JR/SR HIGH SCHOOL,500 S SCHOOL DR,LANARK,IL,CARROLL
EAST PRAIRIE MIDDLE SCHOOL,409 S PRAIRIE ST,TUSCOLA,IL,DOUGLAS
MINOOKA ELEM SCHOOL,400 W COADY DR,MINOOKA,IL,GRUNDY
WILLIAMSFIELD HIGH SCHOOL,325 W KENTUCKY AVE,WILLIAMSFIELD,IL,KNOX
NEW HOLLAND-MIDDLETOWN ELEM SCH,75 1250TH ST,MIDDLETOWN,IL,LOGAN
MOKENA ELEM SCHOOL,11244 WILLOW CREST,MOKENA,IL,WILL
FOX MEADOW ELEMENTARY SCHOOL,1275 JENNA DR,SOUTH ELGIN,IL,KANE
MT OLIVE HIGH SCHOOL,804 W MAIN ST,MOUNT OLIVE,IL,MACOUPIN
HAVANA JR HIGH SCHOOL,801 E LAUREL AVE,HAVANA,IL,MASON
STEPHEN MACK MIDDLE SCHOOL,11810 OLD RIVER RD,ROCKTON,IL,WINNEBAGO
SHERWOOD ELEM SCHOOL,1900 STRATFORD RD,HIGHLAND PARK,IL,LAKE
SPRING LAKE ELEM SCHOOL,13650 N MANITO RD,MANITO,IL,TAZEWELL
MURPHY JUNIOR HIGH SCHOOL,26923 W GRANDE PARK,PLAINFIELD,IL,KENDALL
CARBONDALE MIDDLE SCHOOL,1150 E GRAND AVE,CARBONDALE,IL,JACKSON
W S BEAUPRE ELEM SCHOOL,954 E BENTON ST,AURORA,IL,KANE
ROBESON ELEM SCHOOL,2501 SOUTHMOOR DR,CHAMPAIGN,IL,CHAMPAIGN
INGERSOLL MIDDLE SCHOOL,1605 E ASH ST,CANTON,IL,FULTON
CARPENTERSVILLE MIDDLE SCHOOL,100 CLEVELAND AVE,CARPENTERSVILLE,IL,KANE
WASHINGTON JR HIGH SCHOOL,3300 18TH AVE,ROCK ISLAND,IL,ROCK ISLAND
SOUTH FORK ELEMENTARY SCHOOL,550 PRAIRIE ST,KINCAID,IL,CHRISTIAN
VILLA GROVE ELEM SCHOOL,400 N SYCAMORE ST,VILLA GROVE,IL,DOUGLAS
MARY ENDRES ELEMENTARY SCHOOL,2181 N SEMINARY AVE,WOODSTOCK,IL,MCHENRY
JOHNSONVILLE ELEM SCHOOL,891 COUNTY HWY 16,JOHNSONVILLE,IL,WAYNE
WHITE SWAN ELEM SCHOOL,7550 MILL RD,ROCKFORD,IL,WINNEBAGO
LA HARPE ELEMENTARY SCHOOL,404 W MAIN ST,LA HARPE,IL,HANCOCK
GENESEO HIGH SCHOOL,700 N STATE ST,GENESEO,IL,HENRY
ROSCOE MIDDLE SCHOOL,6121 ELEVATOR RD,ROSCOE,IL,WINNEBAGO
THOMAS JEFFERSON MIDDLE SCHOOL,4735 E CANTRELL ST,DECATUR,IL,MACON
CRETE-MONEE HIGH SCHOOL,1515 W EXCHANGE ST,CRETE,IL,WILL
KELLAR PRIMARY SCHOOL,6413 MT HAWLEY RD,PEORIA,IL,PEORIA
VIRGINIA LAKE ELEM SCHOOL,925 N GLENN DR,PALATINE,IL,COOK
DON D SHUTE ELEM SCHOOL,300 BRIARBROOK DR,EAST PEORIA,IL,TAZEWELL
GIANT CITY ELEM SCHOOL,1062 BOSKYDELL RD,CARBONDALE,IL,JACKSON
ARTHUR GRADE SCHOOL,126 E LINCOLN ST,ARTHUR,IL,DOUGLAS
HINCKLEY-BIG ROCK MIDDLE SCH,PO BOX 247,BIG ROCK,IL,KANE
ARCOLA HIGH SCHOOL,351 W WASHINGTON ST,ARCOLA,IL,DOUGLAS
PRAIRIE POINT ELEM SCHOOL,3650 GROVE RD,OSWEGO,IL,KENDALL
FRANKLIN PRIMARY SCHOOL,807 W COLUMBIA TER,PEORIA,IL,PEORIA
BOWLESBURG ELEM SCHOOL,2221 10TH ST,SILVIS,IL,ROCK ISLAND
HAMMOND ELEM SCHOOL,2819 W 21ST PL,CHICAGO,IL,COOK
HERRICK MIDDLE SCHOOL,4335 MIDDAUGH AVE,DOWNERS GROVE,IL,DUPAGE
NKRUMAH ACADEMY CHARTER ES,314 W 108TH ST,CHICAGO,IL,COOK
BLOOM TRAIL HIGH SCHOOL,22331 COTTAGE GROVE,CHICAGO HEIGHTS,IL,COOK
RONDOUT ELEM SCHOOL,28593 N BRADLEY RD,LAKE FOREST,IL,LAKE
JEFFERSON ELEM SCHOOL,360 E CRESCENT AVE,ELMHURST,IL,DUPAGE
ROCHESTER INTERMEDIATE SCHOOL,900 JACK TAYLOR DR,ROCHESTER,IL,SANGAMON
MARENGO COMM MIDDLE SCHOOL,816 E GRANT HWY,MARENGO,IL,MCHENRY
PARK VIEW ELEM SCHOOL,6200 LAKE ST,MORTON GROVE,IL,COOK
HARVARD JR HIGH SCHOOL,1301 GARFIELD ST,HARVARD,IL,MCHENRY
MULBERRY GROVE SR HIGH SCHOOL,801 W WALL ST,MULBERRY GROVE,IL,BOND
BURLEY ELEM SCHOOL,1630 W BARRY AVE,CHICAGO,IL,COOK
LYON ELEM SCHOOL,2941 N MCVICKER AVE,CHICAGO,IL,COOK
ARDMORE ELEM SCHOOL,225 S HARVARD AVE,VILLA PARK,IL,DUPAGE
JEFFERSON ELEM SCHOOL,1200 N JEFFERSON ST,HARVARD,IL,MCHENRY
NASH ELEM SCHOOL,4837 W ERIE ST,CHICAGO,IL,COOK
LOGAN ELEM SCHOOL,1602 25TH ST,MOLINE,IL,ROCK ISLAND
MILLBURN ELEM SCHOOL,18550 W MILLBURN RD,OLD MILL CREEK,IL,LAKE
DEVER ELEM SCHOOL,3436 N OSCEOLA AVE,CHICAGO,IL,COOK
FRAZIER PREP ACAD CHARTER ES,3711 W DOUGLAS BLVD,CHICAGO,IL,COOK
OTOOLE ELEM SCHOOL,6550 S SEELEY AVE,CHICAGO,IL,COOK
CANTY ELEM SCHOOL,3740 N PANAMA AVE,CHICAGO,IL,COOK
BLUE RIDGE HIGH SCHOOL,411 N JOHN ST,FARMER CITY,IL,DE WITT
EARLY STEP PRE-SCHOOL,1217 14TH ST,FULTON,IL,WHITESIDE
TWAIN ELEM SCHOOL,5134 S LOTUS AVE,CHICAGO,IL,COOK
21ST CENTURY PRIMARY CENTER,240 S ORCHARD DR,PARK FOREST,IL,COOK
WOODLAND ELEMENTARY/JR HIGH SCH,5800 E 3000 NORTH RD,STREATOR,IL,LIVINGSTON
HUNTLEY HIGH SCHOOL,13719 HARMONY RD,HUNTLEY,IL,MCHENRY
MAROA-FORSYTH SENIOR HIGH SCH,610 W WASHINGTON ST,MAROA,IL,MACON
NICHOLS MIDDLE SCHOOL,800 GREENLEAF ST,EVANSTON,IL,COOK
JAMES AVANT ELEMENTARY SCHOOL,1915 N 55TH ST,WASHINGTON PK,IL,ST. CLAIR
ARNOLD W KRUSE ED CENTER,7617 HEMLOCK DR,ORLAND PARK,IL,COOK
TILL ELEM MATH & SCIENCE ACADEMY,6543 S CHAMPLAIN AVE,CHICAGO,IL,COOK
ADLAI E STEVENSON HIGH SCHOOL,1 STEVENSON DR,LINCOLNSHIRE,IL,LAKE
PRIETO MATH-SCIENCE ELEM SCH,2231 N CENTRAL AVE,CHICAGO,IL,COOK
THE COMMUNICATIONS PROGRAM,5200 E CENTER ST,BOURBONNAIS,IL,KANKAKEE
LEARN 10 CHARTER SCHOOL,1811 MORROW AVE,NORTH CHICAGO,IL,LAKE
BETTY SHABAZZ INTERNL CHARTER SCH,7823 S ELLIS AVE,CHICAGO,IL,COOK
BARBARA A SIZEMORE CAMPUS,6547 S STEWART AVE,CHICAGO,IL,COOK
MULTI NEEDS PROGRAM,6S331 CORNWALL RD,NAPERVILLE,IL,DUPAGE
AMANDLA CHARTER SCHOOL,6820 S WASHTENAW AVE,CHICAGO,IL,COOK
BRONZEVILLE ACADEMY CHARTER SCH,4930 S COTTAGE GRVE,CHICAGO,IL,COOK
NEWARK CCSD 66,503 CHICAGO RD,NEWARK,IL,KENDALL
LISBON CCSD 90,127 S CANAL ST,NEWARK,IL,KENDALL
IL DEPT OF CLDRN AND FAMLY SVCS,100 W RANDOLPH 6-229,CHICAGO,IL,COOK
SOUTHEAST AREA ELEMENTARY SCHOOL,3930 E 105TH ST,CHICAGO,IL,COOK
CROSSROAD LEARNING CENTER,30 CENTRAL PK PLZA,JACKSONVILLE,IL,MORGAN
GALATIA GRADE SCHOOL ANNEX,114 W MAIN ST,GALATIA,IL,SALINE
AVIS HUFF STUDENT SUPPORT SERVICE,369 N 5TH AVE,KANKAKEE,IL,KANKAKEE
STEVENSON MIDDLE SCHOOL,1630 N 20TH AVE,MELROSE PARK,IL,COOK
PEACE CENTER,306 E 144TH ST,DOLTON,IL,COOK
OUTLOOK ACADEMY,465 E 170TH ST,SOUTH HOLLAND,IL,COOK
WOODSTOCK NORTH HIGH SCHOOL,3000 RAFFEL RD,WOODSTOCK,IL,MCHENRY
FRESH START TREATMENT & LEARNING,215 N 1ST ST,EFFINGHAM,IL,EFFINGHAM
CENTENNIAL SCHOOL,234 E STEARNS RD,BARTLETT,IL,DUPAGE
FIVE COUNTY REGIONAL ALTERNATIVE,1001 WALNUT STREET,MURPHYSBORO,IL,JACKSON
PERANDOE EDUCATIONAL PROGRAM,540 PINE ST,TILDEN,IL,RANDOLPH
LINCOLN PRAIRIE ELEM SCHOOL,500 HARVEST GATE,LAKE IN THE HILLS,IL,MCHENRY
ELVERADO INTERMEDIATE SCHOOL,PO BOX 35,VERGENNES,IL,JACKSON
OMBUDSMAN CHICAGO HS,2401 W CONGRESS PKWY,CHICAGO,IL,COOK
GIFFORD ST REGIONAL SAFE SCH PROG,46 S GIFFORD ST,ELGIN,IL,KANE
BLACK HAWK AREA SPECIAL ED CTR,4680 / 11TH ST,EAST MOLINE,IL,ROCK ISLAND
COMMUNITY SERVICES WEST HIGH SCH,8 W ROOT ST,CHICAGO,IL,COOK
NORTHSIDE LEARNING CENTER,3730 W BRYN MAWR AVE,CHICAGO,IL,COOK
OAKLAND ELEMENTARY SCHOOL,818 E GRASS LAKE RD,LAKE VILLA,IL,LAKE
PRAIRIE TRAIL SCHOOL,13600 W WADSWORTH RD,WADSWORTH,IL,LAKE
REG'L LEARNING CENTER STAR WINN,5949 SAFFORD RD,ROCKFORD,IL,WINNEBAGO
PLEVIAK ELEM SCHOOL,304 E GRAND AVE,LAKE VILLA,IL,LAKE
MAPLE GROVE ELEM SCHOOL,1698 GRAND CHAIN RD,METROPOLIS,IL,MASSAC
CHICAGO INTERNATIONAL CHARTER,11 E ADAMS ST STE600,CHICAGO,IL,COOK
HUBBLE MIDDLE SCHOOL,3S600 HERRICK RD,WARRENVILLE,IL,DUPAGE
NAUVOO ELEM SCHOOL,2461 N STATE HWY 96,NAUVOO,IL,HANCOCK
IHSCA CHARTER HIGH SCHOOL,2520 S WESTERN AVE,CHICAGO,IL,COOK
GRACE MCWAYNE ELEMENTARY SCHOOL,3501 HAPNER WAY,BATAVIA,IL,KANE
ACADEMY FOR LEARNING,306 E 144TH ST,DOLTON,IL,COOK
EVERGREEN ELEMENTARY SCHOOL,1041 EVERGREEN DR,CAROL STREAM,IL,DUPAGE
CLAY CITY ELEM SCHOOL,PO BOX 542,CLAY CITY,IL,CLAY
CHATEAUX SCHOOL,3600 CHAMBORD LN,HAZEL CREST,IL,COOK
NORTH PRAIRIE JR HIGH,500 NORTH AVE,WINTHROP HARBOR,IL,LAKE
NEW HOPE ELEM SCHOOL,1804 CTY RD 445 N,FAIRFIELD,IL,WAYNE
URBANA GERBER SCHOOL,1301 N CUNNIGHAM AVE,URBANA,IL,CHAMPAIGN
LEARN CHTR - 7TH CAMPUS,3021 W CARROLL AVE,CHICAGO,IL,COOK
EMMONS GRADE SCHOOL,24226 W BEACH GRV,ANTIOCH,IL,LAKE
NOBLE ST CHTR-BUTLER - CRIMSON,821 E 103RD ST,CHICAGO,IL,COOK
CICS - QUEST NORTH CAMPUS,1443 N OGDEN AVE,CHICAGO,IL,COOK
LINCOLN ELEM SCHOOL,407 S JACKSON ST,CLINTON,IL,DE WITT
CICS - BOND CAMPUS,13300 S LANGLEY AVE,CHICAGO,IL,COOK
YCCS-ASPIRA PANTOJA ALT HS,3121 N PULASKI RD,CHICAGO,IL,COOK
KIPP ONE ACADEMY,730 N PULASKI RD,CHICAGO,IL,COOK
CICS - PRAIRIE CAMPUS,11530 S PRAIRIE AVE,CHICAGO,IL,COOK
LEARN CHTR - SOUTH CHICAGO CAMPUS,8914 S BUFFALO AVE,CHICAGO,IL,COOK
LEARN CHTR - MIDDLE SCHOOL,3021 W CARROLL AVE,CHICAGO,IL,COOK
CICS - LOOMIS PRIMARY CAMPUS,9535 S LOOMIS ST,CHICAGO,IL,COOK
PLEASANT VALLEY MIDDLE SCHOOL,3314 W RICHWOODS BVD,PEORIA,IL,PEORIA
UNIV OF CHICAGO CHTR-WOODLAWN,6420 S UNIVERSITY,CHICAGO,IL,COOK
CICS - WEST BELDEN CAMPUS,2245 N MCVICKER AVE,CHICAGO,IL,COOK
PERSPECTIVES CHTR - HS OF TECH,8131 S MAY ST FL 2,CHICAGO,IL,COOK
CICS - BUCKTOWN CAMPUS,2235 N HAMILTON AVE,CHICAGO,IL,COOK
CICS - BASIL CAMPUS,1816 W GARFIELD BLVD,CHICAGO,IL,COOK
NOBLE ST CHTR-PRITZKER COL PREP,4131 W CORTLAND ST,CHICAGO,IL,COOK
ARCOLA BRIDGES/BEACONS RSSP,115 EGYPTIAN TRL,ARCOLA,IL,DOUGLAS
YCCS-SCHOLASTIC ACHIEVEMENT HS,4651 W MADISON ST,CHICAGO,IL,COOK
ACERO CHTR SCH NETWRK- VICTORIA,5025 S ST LOUIS AVE,CHICAGO,IL,COOK
UNIV OF CHICAGO CHTR - WOODSON,4444 S EVANS AVE,CHICAGO,IL,COOK
YCCS-WESTSIDE HOLISTIC LDR ACAD,4909 W DIVISION ST,CHICAGO,IL,COOK
LEARN CHTR - BUTLER,1132 S HOMAN AVE,CHICAGO,IL,COOK
NOBLE ST CHTR-GOLDER COLLEGE PREP,1454 W SUPERIOR ST,CHICAGO,IL,COOK
JOHN SCHRODER EARLY CHILDHOOD CTR,1519 S GRACE ST,LOMBARD,IL,DUPAGE
NORTH LAWNDALE PREP CHTR-COLLINS,1313 S SACRAMENTO DR,CHICAGO,IL,COOK
NORTHFIELD COMMUNITY NURSERY SCH,400 WAGNER RD,NORTHFIELD,IL,COOK
NOBLE ST CHTR-COMER COLLEGE PREP,7131 S SOUTH CHICAGO,CHICAGO,IL,COOK
ACERO CHTR - OCTAVIO PAZ CAMPUS,2651 W 23RD ST,CHICAGO,IL,COOK
FOUNDATIONS COLLEGE PREP CHARTER,1233 W 109TH PL,CHICAGO,IL,COOK
WM NASHOLD EARLY CHILDHOOD CENTER,3303 20TH ST,ROCKFORD,IL,WINNEBAGO
WCSEA BLACK PATRIDGE PUB DAY,110 FANDEL RD,GERMANTOWN HILLS,IL,WOODFORD
ACERO CHTR-BRIGHTON PARK CAMPUS,4420 S FAIRFIELD AVE,CHICAGO,IL,COOK
JEFFERSON ELEM SCHOOL,725 W PUTNAM ST,PRINCETON,IL,BUREAU
TRI-COUNTY CENTER,1725 SHOMAKER DR,MURPHYSBORO,IL,JACKSON
OHIO COMMUNITY HIGH SCHOOL,PO BOX 478,OHIO,IL,BUREAU
NORTHEAST ACADEMY EAST,201 S 7TH ST,ST CHARLES,IL,KANE
B H R A COOPERATIVE HS,PO BOX 350,BISMARCK,IL,VERMILION
DREAM ACADEMY,251 AMARILLO DR,CARPENTERSVILLE,IL,KANE
ACERO CHTR - SPC ZIZUMBO CAMPUS,4248 W 47TH ST,CHICAGO,IL,COOK
ASPIRA CHARTER - BUS AND FIN,2989 N MILWAUKEE AVE,CHICAGO,IL,COOK
NOBLE ST CHTR-HANSBERRY PREP SLVR,8748 S ABERDEEN ST,CHICAGO,IL,COOK
ACERO CHTR - RUFINO TAMAYO CAMPUS,5135 S CALIFORNIA,CHICAGO,IL,COOK
LEARN CHARTER EXCEL CAMPUS,3021 W CARROLL AVE,CHICAGO,IL,COOK
YCCS-CCA ACADEMY HS,1231 S PULASKI RD,CHICAGO,IL,COOK
NOBLE ST CHTR-THE NOBLE ACADEMY,1443 N OGDEN AVE,CHICAGO,IL,COOK
UNIV OF CHICAGO CHTR-NTH KENWOOD,1119 E 46TH ST,CHICAGO,IL,COOK
ACERO CHTR NETRK - MAJOR GARCIA,4248 W 47TH ST,CHICAGO,IL,COOK
YCCS-COMMUNITY YOUTH DEV INST HS,7836 S UNION AVE,CHICAGO,IL,COOK
NOBLE ST CHTR-NOBLE CAMPUS,1010 N NOBLE ST,CHICAGO,IL,COOK
ASPIRA CHARTER - EARLY COLLEGE PR,3986 W BARRY AVE,CHICAGO,IL,COOK
KIPP ACADEMY CHICAGO CAMPUS,4818 W OHIO ST,CHICAGO,IL,COOK
YCCS-OLIVE HARVEY MID COLLEGE HS,10001 S WOODLAWN AVE,CHICAGO,IL,COOK
NOBLE ST CHTR-ITW SPEER ACAD,2456 N MANGO AVE,CHICAGO,IL,COOK
YCCS-ALBIZU CAMPUS PUERTO RICAN,2739 W DIVISION ST,CHICAGO,IL,COOK
YCCS-PROGRESSIVE LEADERSHIP ACAD,7847 S JEFFERY BLVD,CHICAGO,IL,COOK
YCCS-ASSOC HSE EL CUARTO ANO HS,1116 N KEDZIE AVE F4,CHICAGO,IL,COOK
CICS - NORTHTOWN CAMPUS,3900 W PETERSON AVE,CHICAGO,IL,COOK
YCCS-JANE ADDAMS ALTERNATIVE HS,1814 S UNION AVE,CHICAGO,IL,COOK
CICS - AVALON/SOUTH SHORE,1501 E 83RD PL,CHICAGO,IL,COOK
ACERO CHTR SOR JUANA INES DE LA,7416 N RIDGE BLVD,CHICAGO,IL,COOK
KIPP CHICAGO CHRTRS - ASCEND ACAD,1616 S AVERS AVE,CHICAGO,IL,COOK
YCCS-AUSTIN CAREER ED CNTR HS,5352 W CHICAGO AVE,CHICAGO,IL,COOK
CICS - WASHINGTON PK CAMPUS,110 E 61ST ST,CHICAGO,IL,COOK
NOBLE ST CHTR-UIC COLLEGE PREP,1231 S DAMEN AVE,CHICAGO,IL,COOK
